Condition,Date,Id,View,Waterfront,Yr Built,Zipcode,Bathrooms,Bedrooms,Floors,Grade,Lat,Long,Price,Sqft Living,Sqft Lot
Average,20150102T000000,98000150,Good,No,2004,98075,4,4,2,12,47.5874,-121.965,1465000,4930,22093
Average,20150206T000000,868001705,Good,No,1940,98177,1.5,3,2,10,47.7018,-122.381,1465000,2480,9900
Good,20140709T000000,6169900580,Good,No,1916,98119,4.5,6,2,8,47.6301,-122.369,1465000,4230,6420
Average,20141030T000000,9551201240,No View,No,2011,98103,2.5,4,2,9,47.6695,-122.339,1465000,2800,4000
Average,20140620T000000,1251200045,Good,No,2008,98144,3.25,5,3,10,47.5929,-122.29,1462500,3840,4800
Average,20141017T000000,9197800010,Average,No,1996,98040,3.5,4,2,12,47.5331,-122.217,1460000,4200,14353
Average,20150428T000000,98300230,No View,No,2014,98024,4,4,2,10,47.5885,-121.939,1459000,4620,130208
Good,20140929T000000,1338800280,No View,No,1909,98112,1.5,4,2,9,47.6275,-122.305,1457000,2650,6900
Average,20150225T000000,1235100328,No View,No,2014,98033,4,5,2,10,47.6771,-122.187,1454000,4070,11334
Average,20150319T000000,1724069079,Good,Yes,1988,98075,3.25,2,2,9,47.5686,-122.06,1452000,2070,3128
Average,20141124T000000,2625069038,No View,No,2014,98074,3.5,4,2,11,47.6258,-122.005,1450000,4300,108865
Average,20150401T000000,6645950070,No View,No,2004,98029,3.5,4,2,11,47.554,-122.036,1450000,5000,38012
Average,20150502T000000,4055700030,Average,No,1977,98034,4.5,3,2,10,47.7183,-122.258,1450000,3970,24920
Average,20141013T000000,629800380,No View,No,1998,98074,3.5,4,2,12,47.6035,-122.005,1450000,4360,24603
Good,20141031T000000,3025300225,No View,No,1953,98039,2.75,5,1,9,47.6232,-122.235,1450000,3090,19865
Average,20150302T000000,4389200955,No View,No,1914,98004,2.75,4,1.5,8,47.6141,-122.212,1450000,2750,17789
Average,20150224T000000,3760500455,Fair,No,2000,98034,3.5,3,1,10,47.6996,-122.229,1450000,4110,15720
Average,20150327T000000,8964800695,No View,No,1949,98004,1.75,3,1,9,47.6204,-122.217,1450000,2230,13529
Very Good,20141007T000000,7855000460,Excellent,No,1967,98006,2.75,3,1,9,47.5654,-122.158,1450000,3940,9671
Average,20141021T000000,7324900016,No View,No,2008,98004,3.5,5,2,10,47.5918,-122.196,1450000,4170,9090
Average,20150325T000000,824059324,No View,No,2008,98004,3.5,4,2,10,47.5885,-122.199,1450000,3720,8301
Average,20150327T000000,4340000080,No View,No,1995,98004,3.5,4,2,10,47.622,-122.195,1450000,2820,7809
Very Good,20141013T000000,1373800295,Good,No,1952,98199,3,3,2,10,47.6452,-122.411,1450000,4380,6320
Very Good,20140707T000000,3528900330,No View,No,1925,98109,3.25,4,2,9,47.641,-122.349,1450000,3770,4103
Very Good,20140805T000000,1689400375,Average,No,1923,98109,3.25,4,2,9,47.6385,-122.348,1450000,3100,3900
Average,20150227T000000,9831200172,No View,No,2013,98102,3.5,4,3,10,47.6262,-122.323,1450000,2860,2199
Average,20150401T000000,1377300005,No View,No,2007,98199,3.5,4,2,11,47.6433,-122.403,1445000,3470,8580
Good,20140807T000000,6169901085,Good,No,1997,98119,2.5,4,3,9,47.632,-122.369,1445000,3200,3600
Average,20141201T000000,5494000040,Fair,No,1968,98004,2.75,4,1,8,47.616,-122.218,1444000,2660,9547
Very Good,20141006T000000,9831200520,No View,No,1905,98102,3,4,2.5,9,47.6282,-122.322,1443920,3720,5000
Average,20140828T000000,8835900220,Good,No,1953,98118,2.5,2,1,10,47.5499,-122.264,1442500,2720,16637
Good,20150423T000000,5556300076,Average,No,1987,98052,2.25,3,2.5,8,47.6485,-122.121,1442500,2630,9705
Average,20141014T000000,809002680,No View,No,1911,98109,1.75,4,1.5,8,47.6369,-122.355,1440000,2410,6000
Average,20140619T000000,2025049111,No View,No,2002,98102,3.5,3,2,11,47.6452,-122.317,1440000,3870,3819
Average,20141201T000000,5456000025,No View,No,2006,98040,3.5,5,2,10,47.5736,-122.212,1438890,3420,8000
Average,20140902T000000,1102000527,Good,No,2001,98118,3.75,4,3,11,47.5427,-122.265,1437500,4410,9231
Good,20150330T000000,4139430250,Good,No,1992,98006,3.5,4,2,11,47.5496,-122.12,1436000,4970,16582
Average,20141106T000000,856000985,No View,No,2003,98033,2.5,4,2,10,47.6906,-122.213,1430800,2910,7364
Average,20140911T000000,9290900160,No View,No,1966,98004,2.5,4,2,10,47.6292,-122.225,1430000,3380,27589
Average,20150303T000000,8964800225,Average,No,1949,98004,2,3,1,8,47.6203,-122.21,1430000,1890,12017
Average,20150304T000000,868002335,Excellent,No,1975,98177,2.75,3,1.5,9,47.7039,-122.385,1430000,2710,9204
Average,20141029T000000,4232900310,No View,No,2014,98119,4.25,5,2,10,47.6351,-122.364,1430000,3350,3600
Average,20150324T000000,98000130,Good,No,2005,98075,5,4,2,11,47.587,-121.966,1425000,4630,24054
Very Good,20141229T000000,1336800670,No View,No,1905,98112,3,5,2,9,47.6285,-122.309,1425000,2840,6240
Average,20140529T000000,6819100020,No View,No,1909,98109,4.25,4,2.5,11,47.6437,-122.356,1425000,4960,6000
Average,20140505T000000,4385700425,No View,No,2000,98112,2.5,2,2,9,47.6364,-122.28,1425000,2220,4000
Average,20150401T000000,7419500200,Average,No,2006,98033,3.25,5,2,10,47.6898,-122.189,1420000,3950,11438
Average,20141028T000000,7933250050,No View,No,2010,98004,3.25,5,2,9,47.6349,-122.204,1419000,4020,4500
Average,20140605T000000,4139900120,No View,No,1989,98006,5.25,4,2,12,47.5456,-122.126,1415000,4670,43950
Average,20141009T000000,4055700378,Average,No,1991,98034,3.25,4,2,11,47.7124,-122.253,1415000,3600,38016
Good,20140811T000000,6613001241,Good,No,1931,98105,3,4,2.5,10,47.6583,-122.27,1415000,3110,4408
Very Good,20140702T000000,7856400300,Excellent,No,1985,98006,2.5,2,2,10,47.5617,-122.158,1411600,3180,9400
Very Good,20150420T000000,284000025,Excellent,Yes,1952,98146,2,2,1,9,47.5036,-122.387,1410000,2180,18525
Average,20140626T000000,5427100150,No View,No,1979,98039,2.25,4,2,9,47.6334,-122.229,1410000,3250,16684
Average,20140825T000000,7237550100,No View,No,2012,98053,4,4,2,10,47.6575,-122.006,1408760,4920,50621
Very Good,20141205T000000,2524049018,No View,No,1966,98040,2.25,5,2,9,47.5364,-122.239,1406890,3580,16789
Average,20140519T000000,3225059223,No View,No,2008,98004,3.5,4,2,10,47.6081,-122.198,1405000,3410,10769
Average,20150427T000000,4054530240,No View,No,1993,98077,3.5,4,1.5,11,47.7279,-122.048,1400000,4380,66613
Average,20150324T000000,3585300194,Excellent,No,1973,98177,3.25,5,1,10,47.7633,-122.369,1400000,4140,32700
Average,20150409T000000,3303850290,No View,No,2002,98006,4,5,2,11,47.5417,-122.111,1400000,4700,22326
Average,20150408T000000,9253900408,Excellent,Yes,1947,98008,2.75,3,1,8,47.5895,-122.111,1400000,3130,19530
Good,20140805T000000,2068000270,No View,No,1964,98004,3,5,1,9,47.6425,-122.218,1400000,3850,14990
Average,20141209T000000,4139480200,Good,No,1997,98006,3.25,4,1,11,47.5503,-122.102,1400000,4290,12103
Average,20141031T000000,9359100750,Good,No,1976,98040,4.5,4,2,8,47.5806,-122.244,1400000,3080,10550
Good,20140804T000000,1370801331,Good,No,1951,98199,2.5,4,1,9,47.6408,-122.41,1400000,4040,9630
Average,20141009T000000,2102700025,Good,No,1957,98116,3.25,5,2,10,47.5717,-122.409,1400000,4300,9270
Average,20140528T000000,148000475,Excellent,No,2005,98116,3.25,4,1,11,47.5744,-122.406,1400000,4700,9160
Average,20150402T000000,2451000070,No View,No,2001,98004,2.5,4,2,9,47.5831,-122.193,1400000,2770,8879
Average,20140513T000000,5315100277,No View,No,2001,98040,4.25,5,2,10,47.5894,-122.243,1400000,3530,7924
Average,20141211T000000,328000160,Excellent,No,1983,98115,3.75,5,3,9,47.6865,-122.266,1400000,3700,7920
Average,20150325T000000,1370801440,Good,No,1929,98199,2.5,4,2,10,47.6429,-122.412,1400000,3520,7815
Good,20140829T000000,3931900510,No View,No,2002,98115,2.5,4,3,8,47.6838,-122.327,1400000,4070,7800
Average,20140514T000000,1250203070,Average,No,1981,98144,2.5,3,2,10,47.5996,-122.288,1400000,2550,7200
Average,20140528T000000,5699000070,Good,No,1900,98144,3.25,4,2,10,47.5933,-122.292,1400000,2980,7000
Average,20141022T000000,1245002391,No View,No,2008,98033,4.25,5,2,10,47.6866,-122.205,1400000,4230,6907
Good,20150130T000000,1118001645,No View,No,1954,98112,3.25,3,2,9,47.6332,-122.29,1400000,3020,6073
Average,20140618T000000,1370800935,Good,No,1937,98199,2,3,1.5,10,47.6388,-122.409,1400000,2020,5500
Good,20140822T000000,1336800880,No View,No,1907,98112,2.25,4,2,9,47.6275,-122.308,1400000,3780,5160
Very Good,20140502T000000,4217401055,No View,No,1909,98105,2.5,4,1.5,8,47.6578,-122.28,1400000,2920,4000
Average,20140618T000000,1692900095,No View,No,2005,98033,2.75,4,2,11,47.6651,-122.191,1399950,3870,10046
Average,20141010T000000,5316100106,No View,No,1967,98112,2.5,3,2,9,47.632,-122.279,1399000,2560,3600
Good,20150402T000000,2525049133,No View,No,1929,98039,2.25,5,1,7,47.6191,-122.234,1398000,2640,14959
Good,20150227T000000,629000605,No View,No,1989,98004,2.5,3,2,10,47.5845,-122.199,1398000,2910,10044
Average,20140729T000000,1338300180,Average,No,1925,98112,2.25,4,2,9,47.6317,-122.304,1395710,3960,8640
Good,20141028T000000,1326059142,Average,No,1981,98072,3,4,2,10,47.7448,-122.117,1395000,3520,128502
Average,20140815T000000,2798000020,No View,No,2014,98040,3.5,4,2,10,47.5569,-122.225,1395000,3560,16782
Very Good,20140505T000000,723000114,Fair,No,1971,98105,3.5,5,2,9,47.6578,-122.286,1395000,4010,8510
Average,20141212T000000,2524000050,No View,No,1994,98040,3.5,3,2,10,47.5614,-122.215,1393000,4240,21578
Average,20150313T000000,3931900580,No View,No,2008,98115,3.5,4,2,9,47.6849,-122.327,1389000,3130,3900
Good,20150428T000000,6448000010,No View,No,1970,98004,2.25,4,2,9,47.6214,-122.227,1388000,2940,20384
Average,20140626T000000,4122900020,No View,No,1972,98004,3,4,1,9,47.6408,-122.212,1388000,4040,20001
Good,20140922T000000,524059250,No View,No,1964,98004,2.5,4,1.5,9,47.5969,-122.206,1388000,3450,17400
Average,20150327T000000,2566300100,No View,No,1955,98004,1.75,5,1,8,47.626,-122.213,1388000,2650,11340
Average,20141118T000000,9829201020,Average,No,1992,98122,1.25,3,3,11,47.6019,-122.29,1388000,2400,6653
Average,20140626T000000,2225039103,Good,No,1950,98199,3,3,2,10,47.6466,-122.404,1387800,2480,5500
Average,20150421T000000,713500020,Average,No,1998,98006,4.5,4,2,11,47.5544,-122.147,1387000,4490,24767
Good,20150421T000000,2579500101,Good,No,1990,98040,3.5,4,2,11,47.5359,-122.213,1387000,4010,10880
Average,20150410T000000,2625069070,No View,No,1993,98074,3.25,4,2.5,9,47.6179,-122.005,1385000,4860,181319
Good,20140530T000000,7856410430,Excellent,No,1977,98006,2.75,6,1,10,47.5601,-122.16,1385000,5700,20000
Average,20140811T000000,5608000010,Fair,No,2006,98027,3.5,4,2,11,47.5528,-122.093,1385000,4010,15365
Average,20140730T000000,3885801190,Fair,No,2000,98033,3.5,4,1,10,47.6838,-122.212,1385000,3230,7200
Very Good,20141110T000000,5035300850,No View,No,1938,98199,3.75,5,2,10,47.653,-122.415,1385000,3290,6480
Average,20140822T000000,3204300455,Average,No,2000,98112,2.25,3,2,11,47.6301,-122.301,1385000,2930,6000
Good,20140911T000000,6169901130,Good,No,1911,98119,3,3,2,8,47.6313,-122.369,1385000,2490,3600
Average,20140618T000000,4139480200,Good,No,1997,98006,3.25,4,1,11,47.5503,-122.102,1384000,4290,12103
Average,20140527T000000,191100672,No View,No,1997,98040,3.75,4,2.5,10,47.5623,-122.221,1381000,3160,9525
Good,20150512T000000,2524049108,Average,No,1979,98040,4.25,5,1,10,47.5323,-122.237,1380000,4050,18827
Average,20150305T000000,4139500200,Average,No,2000,98006,4.5,6,2,11,47.5533,-122.11,1380000,5740,10312
Average,20140723T000000,1269200229,Excellent,Yes,1978,98070,3.25,3,1,9,47.3907,-122.448,1379900,3786,38038
Very Good,20150114T000000,7153200160,No View,No,1905,98122,3.25,5,2,9,47.6133,-122.287,1378600,3450,6360
Average,20141209T000000,7430500110,Average,No,2007,98008,3.5,5,2,10,47.6249,-122.09,1378000,5150,12230
Average,20150403T000000,1234000704,No View,No,2003,98033,3.5,5,2,9,47.6575,-122.197,1378000,3680,8680
Good,20140715T000000,3627800050,Good,No,1969,98040,4,5,1,11,47.5333,-122.22,1375000,3760,22763
Average,20141224T000000,1561750040,No View,No,2014,98074,4.5,5,2,11,47.6018,-122.06,1375000,4350,13405
Good,20141022T000000,8964800370,No View,No,1953,98004,1.5,3,1,8,47.6194,-122.208,1375000,1850,10572
Average,20141024T000000,3885804260,No View,No,1996,98033,3.5,4,2,10,47.6848,-122.208,1375000,3500,9523
Average,20141029T000000,4083306045,Average,No,2014,98103,3.75,5,2,9,47.6497,-122.339,1375000,3330,5042
Average,20150121T000000,9528105305,No View,No,2014,98103,3.5,4,2,9,47.677,-122.33,1375000,3130,4500
Good,20140606T000000,486000520,Excellent,No,1936,98117,2.25,2,1.5,9,47.6792,-122.404,1370000,2460,16940
Average,20150414T000000,9359100101,Average,No,1959,98040,2.25,5,1,8,47.5817,-122.246,1370000,3510,13843
Very Good,20140509T000000,7855200120,Excellent,No,1962,98006,2.75,4,1,10,47.5627,-122.156,1370000,3720,9450
Good,20141007T000000,4054500390,No View,No,1989,98077,4.75,4,2,11,47.7285,-122.042,1365000,5310,57346
Average,20140611T000000,4139420430,Good,No,1995,98006,3.5,5,2,12,47.553,-122.114,1365000,4210,17258
Good,20140530T000000,4217401180,No View,No,1928,98105,2.5,3,1.5,9,47.6567,-122.281,1365000,2090,6000
Average,20140714T000000,1724069062,Good,Yes,1990,98075,3.25,2,3,9,47.5684,-122.06,1365000,2700,3444
Average,20150223T000000,856001130,No View,No,2001,98033,2.5,4,2,10,47.6903,-122.213,1364000,3560,8960
Average,20141009T000000,3536900110,No View,No,1979,98004,2,3,1,10,47.6381,-122.224,1362500,2310,21318
Good,20140707T000000,1625069101,No View,No,1987,98053,3,4,2,10,47.6582,-122.038,1360000,5430,108900
Average,20150224T000000,7352200100,Excellent,Yes,1931,98125,1.75,2,2,8,47.7142,-122.277,1360000,2620,14138
Average,20150323T000000,6389970010,Fair,No,2014,98034,3.5,4,2,11,47.7089,-122.245,1360000,4120,12626
Very Good,20140701T000000,3271800910,Good,No,1937,98199,3.5,4,2,10,47.6474,-122.411,1356920,4270,5800
Average,20150424T000000,7431500341,Good,No,1950,98008,2.5,3,1,9,47.6191,-122.099,1355000,3600,21399
Average,20140814T000000,9286000110,Average,No,2001,98006,3.75,5,2,11,47.5491,-122.137,1355000,4960,13990
Average,20140529T000000,4039800080,Average,No,1984,98008,3.5,5,2,10,47.6151,-122.107,1355000,5960,13703
Average,20140709T000000,8081020370,Average,No,1999,98006,3.5,4,1,11,47.5506,-122.134,1355000,3550,11000
Very Good,20140625T000000,1689401230,Average,No,1913,98109,1.5,3,2,8,47.6333,-122.347,1355000,2680,4775
Average,20150423T000000,822069112,No View,No,2002,98038,4.75,4,2.5,11,47.4097,-122.063,1350000,5230,89298
Very Good,20150311T000000,822039084,Average,Yes,1953,98070,2.5,3,1,9,47.4041,-122.451,1350000,2753,65005
Average,20140805T000000,1424069056,No View,No,2014,98029,3.75,4,2,9,47.5626,-122.005,1350000,4100,61419
Average,20150423T000000,3401700150,Average,No,1969,98072,3,5,1.5,10,47.7352,-122.116,1350000,5530,38816
Good,20140903T000000,1795800040,Excellent,No,1990,98198,3.25,4,2,11,47.405,-122.331,1350000,5370,20388
Very Good,20140609T000000,2581300010,No View,No,1985,98040,3.25,4,2,10,47.5413,-122.216,1350000,3300,15907
Average,20140728T000000,713500030,Average,No,1998,98006,3.5,5,2,11,47.5543,-122.148,1350000,4800,14984
Average,20150303T000000,2387600010,No View,No,2008,98033,3.5,4,2,10,47.6984,-122.206,1350000,4680,12495
Very Good,20150317T000000,8964800930,No View,No,1948,98004,2,4,1,8,47.6177,-122.217,1350000,2240,10296
Average,20140801T000000,3625049079,Fair,No,1946,98039,2,3,1,7,47.616,-122.239,1350000,2070,9600
Average,20140926T000000,191100275,No View,No,1999,98040,3.5,4,2,10,47.5641,-122.221,1350000,3500,9525
Average,20150128T000000,6813600605,No View,No,2014,98103,4.5,4,3,9,47.6875,-122.33,1350000,3420,7440
Average,20140721T000000,1370800940,Good,No,1952,98199,2.5,3,1,9,47.6389,-122.409,1350000,2390,5500
Average,20141112T000000,9103000715,No View,No,1947,98112,3.5,4,2,9,47.6189,-122.286,1350000,3600,5217
Very Good,20140909T000000,8712100350,No View,No,1925,98112,3.25,4,1.5,9,47.6394,-122.299,1350000,3030,5164
Good,20150507T000000,2804600155,No View,No,1926,98112,1.75,4,1.5,9,47.643,-122.299,1350000,2000,3728
Average,20150430T000000,8562720420,Good,No,2006,98027,3.5,4,2,11,47.5375,-122.07,1349000,4740,8611
Average,20150429T000000,629860010,Average,No,2007,98027,3.5,4,2,10,47.5524,-122.078,1348000,4640,9827
Average,20141031T000000,4151800410,Average,No,2005,98033,3.25,5,1,10,47.6643,-122.202,1348000,3540,5971
Good,20140512T000000,4122900190,No View,No,1963,98004,1.75,5,1,8,47.6395,-122.211,1346400,3380,20021
Average,20150325T000000,2998800110,Excellent,No,2014,98116,3.25,4,2,10,47.5727,-122.409,1345000,3440,4920
Average,20140507T000000,1370803460,Average,No,1937,98199,3,3,2,10,47.6356,-122.402,1340000,2960,5500
Average,20140626T000000,1251200055,Good,No,2003,98144,3.5,4,2,10,47.5928,-122.29,1340000,3190,5040
Good,20140721T000000,6613000715,Fair,No,1938,98105,3,4,2,9,47.6591,-122.27,1340000,2760,4905
Average,20141021T000000,7936500190,Excellent,Yes,1955,98136,3.75,4,1.5,9,47.5489,-122.398,1339000,2130,34689
Good,20140609T000000,1922000070,Average,No,1972,98040,2.5,4,2,9,47.5578,-122.212,1339000,4250,19387
Average,20150130T000000,3885806565,Good,No,1998,98033,3.5,4,2,9,47.6819,-122.208,1339000,2980,6349
Average,20140905T000000,7781600100,Excellent,Yes,1963,98146,2.75,3,1.5,9,47.4857,-122.361,1338750,2730,38869
Average,20141030T000000,1025039292,No View,No,1986,98199,2.5,4,2,11,47.6696,-122.416,1337500,2900,21074
Average,20141121T000000,3324079089,No View,No,2000,98027,4,4,2,10,47.5269,-121.922,1335000,5050,202554
Average,20141218T000000,7351200050,Excellent,Yes,1934,98125,1.75,4,1.5,7,47.7308,-122.282,1335000,2300,13342
Good,20140613T000000,1336800010,No View,No,1906,98112,2.25,5,2.5,9,47.6284,-122.312,1335000,4200,5800
Average,20141113T000000,5317100294,No View,No,2014,98112,4.5,4,3,10,47.6239,-122.29,1333000,3130,5126
Average,20150407T000000,2579500181,No View,No,2006,98040,3.5,4,2,10,47.5374,-122.216,1330000,3440,9776
Average,20140625T000000,6169900545,Average,No,1900,98119,1.5,3,1.5,8,47.6308,-122.369,1330000,1940,2885
Average,20150420T000000,5452800310,Average,No,1964,98040,3,5,1,9,47.5421,-122.229,1328000,3340,10796
Very Good,20150324T000000,1336800065,No View,No,1907,98112,2.25,4,2,9,47.6272,-122.312,1328000,3260,4640
Good,20150225T000000,868002015,Good,No,1953,98177,2.25,3,1,10,47.7035,-122.385,1326000,2960,8330
Good,20140729T000000,4379600030,Average,No,1966,98177,3.75,3,1,10,47.7313,-122.37,1325000,6400,76665
Good,20140808T000000,9578050120,No View,No,1990,98052,2.5,4,2,12,47.7139,-122.106,1325000,4010,37076
Average,20140612T000000,1802000060,No View,No,1965,98004,2.25,5,1,8,47.6303,-122.215,1325000,3200,20158
Average,20140617T000000,324069112,No View,No,2013,98075,4,4,2,11,47.5914,-122.027,1325000,4420,16526
Average,20140710T000000,2424059052,No View,No,2004,98006,4.25,6,2,10,47.5464,-122.116,1325000,5720,10213
Average,20150430T000000,9541600110,No View,No,1958,98005,2.5,3,1,9,47.595,-122.173,1325000,3590,8400
Average,20140523T000000,486000510,Good,No,1988,98117,3,4,1,10,47.6773,-122.403,1325000,3370,7920
Good,20140620T000000,2125049024,No View,No,1905,98112,2.25,4,1.5,9,47.6329,-122.31,1325000,2870,6280
Good,20141001T000000,7576700150,No View,No,1913,98122,2.25,3,2,8,47.617,-122.288,1325000,2360,5504
Good,20141124T000000,4219400555,Good,No,1926,98105,2.5,3,2,9,47.6574,-122.278,1325000,2280,5000
Very Good,20140811T000000,1337800665,No View,No,1905,98112,3.25,4,2.5,10,47.6292,-122.312,1325000,2850,4800
Very Good,20141001T000000,1342300265,No View,No,1906,98112,3.25,4,1.5,9,47.6331,-122.31,1325000,2470,4760
Average,20150306T000000,2883200139,No View,No,1905,98115,3.5,4,2,9,47.6828,-122.329,1325000,2170,3672
Good,20140619T000000,1732800820,No View,No,1902,98119,2.5,4,2.5,8,47.6298,-122.362,1325000,2440,3600
Average,20150223T000000,9301300270,Average,No,2008,98109,3,3,2,11,47.6377,-122.342,1325000,3180,2758
Average,20141111T000000,7582700100,No View,No,2005,98105,3.25,3,2,9,47.6644,-122.28,1324050,3440,4080
Average,20140825T000000,1438700040,Average,No,1968,98040,2.75,5,2,10,47.5549,-122.211,1321620,2410,19447
Average,20150408T000000,2925059135,No View,No,1990,98004,3,3,2,9,47.6271,-122.197,1321500,2230,12968
Average,20141219T000000,5556300114,Average,No,1980,98052,1.75,3,1,10,47.6479,-122.12,1320000,2040,42693
Average,20140620T000000,4139900210,No View,No,1989,98006,3.5,4,2,11,47.5487,-122.126,1320000,4410,36200
Very Good,20140725T000000,3262301355,No View,No,1964,98039,2.75,3,1,9,47.6304,-122.234,1320000,2680,20104
Average,20140729T000000,8081020330,Good,No,1989,98006,3.25,4,1,11,47.5513,-122.135,1320000,3470,11843
Average,20141117T000000,7237500590,No View,No,2005,98059,5.25,4,2,11,47.5285,-122.135,1320000,6110,10369
Good,20141220T000000,1860600535,Good,No,1908,98119,3,4,2,8,47.6344,-122.369,1320000,2120,3600
Very Good,20150213T000000,6137500310,No View,No,1982,98007,4,5,2,10,47.6468,-122.151,1315000,4420,36342
Good,20141208T000000,9533600100,No View,No,1953,98004,3,4,1,8,47.6286,-122.206,1315000,2860,10292
Average,20140924T000000,1337300070,No View,No,1905,98112,2.25,4,2,10,47.6255,-122.314,1315000,3180,6105
Average,20140512T000000,3856900507,No View,No,2004,98103,3.5,4,2,10,47.6718,-122.329,1315000,3460,3997
Average,20150220T000000,2397100975,Average,No,1911,98119,3,6,1.5,8,47.6366,-122.362,1313000,2980,7200
Average,20150121T000000,4221900305,No View,No,2006,98105,3.25,3,2,10,47.6664,-122.276,1312000,4030,6300
Average,20141117T000000,9550202140,No View,No,2014,98103,3.75,4,2,9,47.6685,-122.332,1311000,3490,5625
Good,20141125T000000,3459600440,Good,No,1978,98006,3,5,1,9,47.56,-122.144,1310000,3650,16600
Very Good,20150527T000000,9106000005,No View,No,1924,98115,2.25,4,2,8,47.6747,-122.303,1310000,3750,5000
Average,20150121T000000,9273200140,Excellent,No,1991,98116,2.25,2,2,10,47.5912,-122.384,1310000,3950,3938
Average,20140619T000000,9412400185,Average,No,2005,98118,4.5,4,2,10,47.5332,-122.265,1309500,4750,13912
Average,20140630T000000,6117500460,Excellent,Yes,1956,98166,2.5,4,1,9,47.4396,-122.353,1309500,2680,12215
Very Good,20140909T000000,269001331,Good,No,1959,98199,2.5,5,1,8,47.6398,-122.39,1308000,3200,7863
Very Good,20140508T000000,3528900086,No View,No,1932,98109,3.25,5,1.5,10,47.6421,-122.35,1307000,2800,3200
Average,20140801T000000,8085400490,No View,No,2002,98004,2.5,5,2,9,47.6341,-122.208,1306000,2770,8100
Average,20150427T000000,1025039320,No View,No,2006,98199,3.5,4,2,11,47.6672,-122.409,1305000,3440,5000
Average,20140731T000000,1257200050,No View,No,2011,98115,3.5,5,2,9,47.6754,-122.327,1305000,3270,4080
Average,20150423T000000,8924100372,Average,No,2006,98115,3.5,4,2,9,47.6763,-122.267,1302000,3590,5334
Average,20140520T000000,7237550130,No View,No,2001,98053,3.5,4,1,11,47.6587,-122.009,1300000,4380,74052
Good,20150302T000000,4139910030,No View,No,1991,98006,2.5,5,2,11,47.5455,-122.126,1300000,4170,33310
Average,20141124T000000,3425059222,No View,No,2002,98005,3.5,6,2,10,47.6078,-122.157,1300000,6563,32670
Good,20140702T000000,1651800010,No View,No,1966,98004,1.75,4,1,8,47.6245,-122.227,1300000,2610,21600
Average,20141010T000000,1925059073,No View,No,1968,98004,1.75,5,1,8,47.638,-122.213,1300000,2130,19180
